Território,Municípios
Irecê,América Dourada
Irecê, Barra do Mendes
Irecê, Barro Alto
Irecê, Cafarnaum
Irecê, Canarana
Irecê, Central
Irecê, Gentio do Ouro
Irecê, Ibipeba
Irecê, Ibititá
Irecê, Ipupiara
Irecê, Irecê
Irecê, Itaguaçu da Bahia
Irecê, João Dourado
Irecê, Jussara
Irecê, Lapão
Irecê, Mulungu do Morro
Irecê, Presidente Dutra
Irecê, Uibaí
Irecê, São Gabriel
Irecê, Xique-Xique.
Velho Chico,Barra
Velho Chico, Bom Jesus da Lapa
Velho Chico, Brotas de Macaúbas
Velho Chico, Carinhanha
Velho Chico, Feira da Mata
Velho Chico, Ibotirama
Velho Chico, Igaporã
Velho Chico, Malhada
Velho Chico, Matina
Velho Chico, Morpará
Velho Chico, Muquém do São Francisco
Velho Chico, Oliveira dos Brejinhos
Velho Chico, Paratinga
Velho Chico, Riacho de Santana
Velho Chico, Serra do Ramalho
Velho Chico, Sítio do Mato.
Chapada Diamantina,Abaíra
Chapada Diamantina, Andaraí
Chapada Diamantina, Barra da Estiva
Chapada Diamantina, Boninal
Chapada Diamantina, Bonito
Chapada Diamantina, Ibicoara
Chapada Diamantina, Ibitiara
Chapada Diamantina, Iramaia
Chapada Diamantina, Iraquara
Chapada Diamantina, Itaetê
Chapada Diamantina, Jussiape
Chapada Diamantina, Lençóis
Chapada Diamantina, Marcionílio Souza
Chapada Diamantina, Morro do Chapéu
Chapada Diamantina, Mucugê
Chapada Diamantina, Nova Redenção
Chapada Diamantina, Novo Horizonte
Chapada Diamantina, Palmeiras
Chapada Diamantina, Piatã
Chapada Diamantina, Rio de Contas
Chapada Diamantina, Seabra
Chapada Diamantina, Souto Soares
Chapada Diamantina, Utinga
Chapada Diamantina, Wagner.
Sisal,Araci
Sisal, Barrocas
Sisal, Biritinga
Sisal, Candeal
Sisal, Cansanção
Sisal, Conceição do Coité
Sisal, Ichu
Sisal, Itiúba
Sisal, Lamarão
Sisal, Monte Santo
Sisal, Nordestina
Sisal, Queimadas
Sisal, Quijingue
Sisal, Retirolândia
Sisal, Santaluz
Sisal, São Domingos
Sisal, Serrinha
Sisal, Teofilândia
Sisal, Tucano
Sisal, Valente..
Litoral Sul,Almadina
Litoral Sul, Arataca
Litoral Sul, Aurelino Leal
Litoral Sul, Barro Preto
Litoral Sul, Buerarema
Litoral Sul, Camacan
Litoral Sul, Canavieiras
Litoral Sul, Coaraci
Litoral Sul, Floresta Azul
Litoral Sul, Ibicaraí
Litoral Sul, Ilhéus
Litoral Sul, Itabuna
Litoral Sul, Itacaré
Litoral Sul, Itaju do Colônia
Litoral Sul, Itajuípe
Litoral Sul, Itapé
Litoral Sul, Itapitanga
Litoral Sul, Jussari
Litoral Sul, Maraú
Litoral Sul, Mascote
Litoral Sul, Pau-Brasil
Litoral Sul, Santa Luzia
Litoral Sul, São José da Vitória
Litoral Sul, Ubaitaba
Litoral Sul, Uma
Litoral Sul, Uruçuca.
Baixo Sul,Aratuípe
Baixo Sul, Cairu
Baixo Sul, Camamu
Baixo Sul, Gandu
Baixo Sul, Ibirapitanga
Baixo Sul, Igrapiúna
Baixo Sul, Ituberá
Baixo Sul, Jaguaripe
Baixo Sul, Nilo Peçanha
Baixo Sul, Piraí do Norte
Baixo Sul, Presidente Tancredo Neves
Baixo Sul, Taperoá
Baixo Sul, Teolândia
Baixo Sul, Valença
Baixo Sul, Wenceslau Guimarães.
Extremo Sul,Alcobaça
Extremo Sul, Caravelas
Extremo Sul, Ibirapoã
Extremo Sul, Itamaraju
Extremo Sul, Itanhém
Extremo Sul, Jucuruçu
Extremo Sul, Lajedão
Extremo Sul, Medeiros Neto
Extremo Sul, Mucuri
Extremo Sul, Nova Viçosa
Extremo Sul, Prado
Extremo Sul, Teixeira de Freitas
Extremo Sul, Vereda.
Médio Sudoeste da Bahia,Caatiba
Médio Sudoeste da Bahia, Firmino Alves
Médio Sudoeste da Bahia, Ibicuí
Médio Sudoeste da Bahia, Iguaí
Médio Sudoeste da Bahia, Itambé
Médio Sudoeste da Bahia, Itapetinga
Médio Sudoeste da Bahia, Itarantim
Médio Sudoeste da Bahia, Itororó
Médio Sudoeste da Bahia, Macarani
Médio Sudoeste da Bahia, Maiquinique
Médio Sudoeste da Bahia, Nova Canaã
Médio Sudoeste da Bahia, Potiraguá
Médio Sudoeste da Bahia, Santa Cruz da Vitória.
Vale do Jiquiriçá,Amargosa
Vale do Jiquiriçá,  Brejões
Vale do Jiquiriçá, Cravolândia
Vale do Jiquiriçá, Elísio Medrado
Vale do Jiquiriçá, Irajuba
Vale do Jiquiriçá, Itaquara
Vale do Jiquiriçá, Itiruçu
Vale do Jiquiriçá, Jaguaquara
Vale do Jiquiriçá, Jiquiriçá
Vale do Jiquiriçá, Lafayette Coutinho
Vale do Jiquiriçá, Laje
Vale do Jiquiriçá, Lajedo do Tabocal
Vale do Jiquiriçá, Maracás
Vale do Jiquiriçá, Milagres
Vale do Jiquiriçá, Mutuípe
Vale do Jiquiriçá, Nova Itarana
Vale do Jiquiriçá, Planaltino
Vale do Jiquiriçá, Santa Inês
Vale do Jiquiriçá, São Miguel das Matas
Vale do Jiquiriçá, Ubaíra.
Sertão do São Francisco,Campo Alegre de Lourdes
Sertão do São Francisco, Canudos
Sertão do São Francisco, Casa Nova
